Member state,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Member state,,,,,,,,,,,,
Austria,27.4,27.6,27.0,27.6,27.2,27.2,27.9,26.8,27.5,27.0,26.7,27.8
Belgium,26.3,26.5,25.9,25.9,26.2,26.3,26.1,25.7,25.1,25.4,24.1,24.9
Bulgaria,35.0,33.6,35.4,35.4,37.0,37.7,40.2,39.6,40.8,40.0,39.7,38.4
Croatia,31.2,30.9,30.9,30.2,30.4,29.8,29.9,29.7,29.2,28.3,29.2,28.5
Cyprus,29.2,31.0,32.4,34.8,33.6,32.1,30.8,29.1,31.1,29.3,29.4,
Czech Republic,25.2,24.9,24.6,25.1,25.0,25.1,24.5,24.0,24.0,24.2,24.9,24.8
Denmark,26.6,26.5,26.8,27.7,27.4,27.7,27.6,27.8,27.5,27.3,27.0,
Estonia,31.9,32.5,32.9,35.6,34.8,32.7,31.6,30.6,30.5,30.5,30.6,31.9
Finland,25.8,25.9,25.4,25.6,25.2,25.4,25.3,25.9,26.2,26.5,25.7,26.6
France,30.8,30.5,30.1,29.2,29.2,29.3,28.8,28.5,29.2,29.2,29.3,
Germany,29.0,28.3,29.7,30.7,30.1,29.5,29.1,31.1,29.7,30.5,31.2,28.8
Greece,33.5,34.3,34.4,34.5,34.2,34.3,33.4,32.3,31.0,31.4,32.4,31.4
Hungary,26.9,27.2,28.3,28.6,28.2,28.2,28.1,28.7,28.0,28.0,27.6,27.4
Ireland,29.8,30.4,30.7,31.1,29.7,29.6,30.6,28.9,28.3,28.3,26.9,
Italy,32.5,32.4,32.8,32.4,32.4,33.1,32.7,33.4,32.8,32.5,32.9,
Latvia,35.1,35.7,35.2,35.5,35.4,34.5,34.5,35.6,35.2,34.5,35.7,34.3
Lithuania,33.0,32.0,34.6,35.0,37.9,37.0,37.6,36.9,35.4,35.1,35.4,
Luxembourg,27.2,28.0,30.4,28.7,28.5,29.6,29.2,31.3,32.3,31.2,29.6,
Malta,27.2,27.1,28.0,27.7,28.1,28.6,28.2,28.7,28.0,30.3,31.2,
Netherlands,25.8,25.4,25.1,26.2,26.7,26.9,27.1,27.4,26.8,28.2,26.4,26.3
Poland,31.1,30.9,30.7,30.8,30.6,29.8,29.2,27.8,28.5,27.2,26.8,26.3
Portugal,34.2,34.5,34.2,34.5,34.0,33.9,33.5,32.1,31.9,31.2,33.0,
Romania,33.5,34.0,34.6,35.0,37.4,34.7,33.1,35.1,34.8,33.8,34.3,
Slovakia,25.7,25.3,24.2,26.1,23.7,24.3,23.2,20.9,22.8,20.9,21.8,
Slovenia,23.8,23.7,24.4,25.0,24.5,24.4,23.7,23.4,23.9,23.5,23.0,
Spain,34.0,34.2,33.7,34.7,34.6,34.5,34.1,33.2,33.0,32.1,33.0,32.0
Sweden,26.0,26.0,26.0,26.9,26.7,27.6,28.0,27.0,27.6,26.9,26.8,
Serbia[n 1],—,—,38.0,38.3,40.0,39.8,37.8,35.6,33.3,33.3,33.3,
Montenegro[n 2][8],—,—,38.5,36.5,36.5,36.5,36.7,34.7,34.1,32.9,,
European Union,30.5,30.4,30.6,30.9,30.8,30.6,30.3,30.4,30.2,30.0,30.1,
Eurozone (EA19),30.6,30.5,30.7,31.0,30.7,30.7,30.4,30.6,30.2,30.3,30.5,
